company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
HAL,Mar 2024,24.999177117277245,32.08913465652875,3816.5829145728644,0.62,238.19,67.51,1814.0,21.11,114.0,39.8,31.0,123,8226.0,,,,1920.7910458450708
INDIGO,Mar 2024,11.852722628584697,76.29890862649484,892.568306010929,0.02,4.46,56.39,9424.0,17.07,212.0,19.0625,0.0,17,21183.0,,,,452.21051431975684
NESTLEIND,Mar 2024,16.12281708616873,23.829630236943512,117.75449101796407,0.1,37.48,2.32,2938.0,5.07,41.0,34.791666666666664,79.0,345,4175.0,,,,66.9386540520664
ADANIPOWER,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,0.8,7.14,0.55,17651.0,6.91,54.0,11.186155042779362,0.0,34616,14170.0,,,,44.82217033665526
LT,Mar 2024,7.031246466738726,13.506668535997433,77.66510140873214,0.1,3.16,8.03,20445.0,0.99,95.0,667.2666666666667,36.0,2071,18266.0,,,,42.34817393773543
COALINDIA,Mar 2024,26.25628846856468,66.29380849329698,45.16982956605826,0.08,6.81,0.6,13617.0,3.15,61.0,13.423657309751745,42.0,6523,18103.0,,,,35.71305901731147
TCS,Mar 2024,19.136712150207767,26.690688396923118,50.944313673485176,0.09,80.69,1.66,50429.0,2.53,127.0,249.9696132596685,58.0,8021,44338.0,,,,35.04051291184647
BRITANNIA,Mar 2024,12.725863199952292,18.886039716142882,54.14869322506978,0.52,18.76,1.85,3050.0,2.84,89.0,164.20833333333334,83.0,2065,2573.0,,,,33.43727821251103
IRCTC,Mar 2024,26.01873536299766,34.33255269320843,34.39628482972136,0.02,79.74,0.7,667.0,5.04,14.0,20.1875,47.0,60,882.0,,,,30.20751009635951
ITC,Mar 2024,29.282025230717128,37.0177518132814,27.851074395694365,0.0,340.25,0.77,18742.0,2.21,16.0,59.701121794871796,84.0,303,17179.0,,,,28.566549813205746
LICI,Mar 2024,4.836600998148862,3.87474201090824,49.44710986501021,0.0,368.3,0.16,853.0,2.99,66.0,13.082529644268774,15.0,0,26122.0,,,,27.141855431579536
ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,0.02,135.83,1.13,1095.0,84.51,565.0,176.14285714285714,73.0,83,6038.0,,,,26.500829587513568
TRENT,Mar 2024,11.935353535353535,15.927272727272726,36.30776794493609,0.43,6.22,1.73,841.0,4.11,42.0,113.0,8.0,1753,1349.0,,,,24.12156074014481
INFY,Mar 2024,17.08075746730006,23.703390381987376,29.788006718416632,0.09,77.57,1.13,20117.0,3.31,63.0,42.54756156446161,73.0,8359,25210.0,,,,23.434382092858346
EICHERMOT,Mar 2024,24.195694242864054,26.179245283018872,22.172346910501524,0.02,103.0,0.72,890.0,17.14,146.0,668.3333333333334,35.0,419,3724.0,,,,23.18402057668279
ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,0.94,4.53,0.23,8250.0,25.34,38.0,122.17129629629629,16.0,49470,15018.0,,,,22.847221598492066
ASIANPAINT,Mar 2024,15.658543456824905,21.3692069305536,29.677488252883382,0.13,36.84,1.19,3556.0,7.18,57.0,195.08333333333334,58.0,2474,6104.0,,,,22.668015854854143
BAJAJ-AUTO,Mar 2024,17.178515712057056,19.534209939826162,26.61418410330778,0.07,168.33,1.14,6486.0,0.16,276.0,103.80645161290323,29.0,1912,6558.0,,,,21.89634990768242
BPCL,Mar 2024,5.994201967046283,9.837909494446341,35.511337343822305,0.72,9.72,2.21,25415.0,2.35,62.0,35.40964419475655,33.0,54599,35936.0,,,,20.752769655434292
DRREDDY,Mar 2024,19.913605369319196,28.321016743422227,19.74233736816026,0.07,43.11,0.72,509.0,14.4,67.0,340.4096385542169,12.0,2002,4543.0,,,,19.82797136873973
TORNTPHARM,Mar 2024,15.436241610738255,31.3944817300522,24.154025670945156,0.59,7.64,0.74,3106.0,1.49,49.0,40.56804733727811,57.0,4022,3266.0,,,,19.795133640841705
HCLTECH,Mar 2024,14.293122742532729,22.015594151738192,23.01393141233172,0.08,38.92,1.11,15840.0,6.01,58.0,125.7145488029466,90.0,5758,22448.0,,,,18.653527077432223
HINDUNILVR,Mar 2024,16.611735814915342,76.31672482874498,20.074973642078955,0.03,18.05,0.79,10145.0,8.6,44.0,217.94893617021276,96.0,1484,15469.0,,,,18.343354728497147
LTIM,Mar 2024,12.90931103415266,17.982937748120616,22.904386052552702,0.1,28.25,1.29,1752.0,11.03,155.0,667.2666666666667,42.0,2071,5670.0,,,,17.90684854335268
