File,Table,Rows Loaded,Status,Timestamp
companies.xlsx,companies,92,Success,2026-07-01 23:52:15
profitandloss.xlsx,profit_loss,1276,Success,2026-07-01 23:52:16
balancesheet.xlsx,balance_sheet,1312,Success,2026-07-01 23:52:16
cashflow.xlsx,cash_flow,1187,Success,2026-07-01 23:52:16
stock_prices.xlsx,stock_prices,5519,Success,2026-07-01 23:52:16
analysis.xlsx,analysis,20,Success,2026-07-01 23:52:16
documents.xlsx,documents,1585,Success,2026-07-01 23:52:16
financial_ratios.xlsx,financial_ratios,1183,Success,2026-07-01 23:52:17
peer_groups.xlsx,peer_groups,55,Success,2026-07-01 23:52:17
prosandcons.xlsx,pros_cons,16,Success,2026-07-01 23:52:17
sectors.xlsx,sectors,91,Success,2026-07-01 23:52:17
market_cap.xlsx,market_cap,551,Success,2026-07-01 23:52:17
