KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.36,11.61,16.27,26.08,48.39,125.07,640.62
debt_to_equity,0.01,0.05,0.44,1.62,6.47,1.68,2.88
free_cash_flow_cr,-14847.2,-1340.0,1095.0,8164.0,20818.1,709.48,23312.37
operating_profit_margin_pct,10.06,16.09,26.18,41.75,84.46,35.33,27.31
composite_quality_score,7.29,11.96,17.55,23.44,35.11,72.59,321.18
net_profit_margin_pct,4.6,7.22,14.12,20.38,29.33,20.12,45.68
asset_turnover,0.07,0.21,0.67,1.14,1.67,3.54,15.93
interest_coverage,1.62,2.42,8.33,38.56,171.16,121.81,520.08
book_value_per_share,11.67,28.72,104.67,217.54,479.19,164.42,186.85
earnings_per_share,6.9,16.0,41.5,73.75,158.2,82.39,139.15
