company_id,company_name,broad_sector,years_available
ABB,Abbott India Ltd,Industrials,23
ADANIENSOL,Adani Energy Solutions Ltd,Energy,11
ADANIENT,Adani Enterprises Ltd,Industrials,12
ADANIGREEN,Adani Green Energy Ltd,Energy,8
AMBUJACEM,Ambuja Cements Ltd,Materials,11
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,12
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,24
DMART,Avenue Supermarts Ltd,Consumer Discretionary,12
AXISBANK,Axis Bank Ltd,Financials,12
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,24
